transaction_id,merchant_name,amount,date,hour,minute,category,payment_status
TXN0001,Sharma Café,66,2025-09-12 07:41:39,7,41,Tea,SUCCESS
TXN0002,Sharma Café,75,2025-09-12 07:59:19,7,59,Coffee,SUCCESS
TXN0003,Sharma Café,95,2025-09-12 08:12:31,8,12,Coffee,SUCCESS
TXN0004,Sharma Café,215,2025-09-12 08:46:22,8,46,Coffee,SUCCESS
TXN0005,Sharma Café,129,2025-09-12 08:56:47,8,56,Coffee,SUCCESS
TXN0006,Sharma Café,378,2025-09-12 09:02:55,9,2,Breakfast,SUCCESS
TXN0007,Sharma Café,179,2025-09-12 09:40:55,9,40,Snacks,SUCCESS
TXN0008,Sharma Café,119,2025-09-12 09:49:50,9,49,Snacks,SUCCESS
TXN0009,Sharma Café,145,2025-09-12 10:30:00,10,30,Snacks,SUCCESS
TXN0010,Sharma Café,249,2025-09-12 10:31:21,10,31,Coffee,SUCCESS
TXN0011,Sharma Café,105,2025-09-12 11:02:15,11,2,Snacks,SUCCESS
TXN0012,Sharma Café,55,2025-09-12 11:41:20,11,41,Coffee,SUCCESS
TXN0013,Sharma Café,315,2025-09-12 12:09:51,12,9,Lunch,SUCCESS
TXN0014,Sharma Café,386,2025-09-12 12:16:43,12,16,Combo,SUCCESS
TXN0015,Sharma Café,455,2025-09-12 12:23:47,12,23,Lunch,SUCCESS
TXN0016,Sharma Café,277,2025-09-12 12:40:03,12,40,Lunch,FAILED
TXN0017,Sharma Café,204,2025-09-12 13:12:13,13,12,Beverage,SUCCESS
TXN0018,Sharma Café,99,2025-09-12 13:13:50,13,13,Combo,SUCCESS
TXN0019,Sharma Café,339,2025-09-12 13:16:58,13,16,Lunch,SUCCESS
TXN0020,Sharma Café,386,2025-09-12 13:36:01,13,36,Lunch,SUCCESS
TXN0021,Sharma Café,279,2025-09-12 14:07:52,14,7,Snacks,SUCCESS
TXN0022,Sharma Café,189,2025-09-12 14:25:03,14,25,Fast Food,REFUNDED
TXN0023,Sharma Café,235,2025-09-12 14:59:01,14,59,Beverage,SUCCESS
TXN0024,Sharma Café,279,2025-09-12 15:40:34,15,40,Coffee,SUCCESS
TXN0025,Sharma Café,59,2025-09-12 15:57:42,15,57,Snacks,SUCCESS
TXN0026,Sharma Café,109,2025-09-12 16:25:53,16,25,Snacks,SUCCESS
TXN0027,Sharma Café,199,2025-09-12 16:55:05,16,55,Beverage,SUCCESS
TXN0028,Sharma Café,184,2025-09-12 17:00:15,17,0,Combo,SUCCESS
TXN0029,Sharma Café,859,2025-09-12 17:33:52,17,33,Coffee,SUCCESS
TXN0030,Sharma Café,397,2025-09-12 17:51:08,17,51,Snacks,SUCCESS
TXN0031,Sharma Café,149,2025-09-12 18:30:26,18,30,Snacks,SUCCESS
TXN0032,Sharma Café,269,2025-09-12 18:36:19,18,36,Snacks,SUCCESS
TXN0033,Sharma Café,415,2025-09-12 18:42:22,18,42,Snacks,SUCCESS
TXN0034,Sharma Café,190,2025-09-12 19:12:44,19,12,Snacks,SUCCESS
TXN0035,Sharma Café,119,2025-09-12 19:13:31,19,13,Coffee,SUCCESS
TXN0036,Sharma Café,229,2025-09-12 19:32:57,19,32,Combo,SUCCESS
TXN0037,Sharma Café,50,2025-09-12 19:47:16,19,47,Snacks,SUCCESS
TXN0038,Sharma Café,227,2025-09-12 20:00:16,20,0,Beverage,SUCCESS
TXN0039,Sharma Café,109,2025-09-12 20:13:14,20,13,Coffee,SUCCESS
TXN0040,Sharma Café,115,2025-09-12 20:59:15,20,59,Beverage,SUCCESS
TXN0041,Sharma Café,149,2025-09-12 21:12:20,21,12,Dessert,SUCCESS
TXN0042,Sharma Café,145,2025-09-12 21:24:35,21,24,Beverage,SUCCESS
TXN0043,Sharma Café,89,2025-09-13 07:16:12,7,16,Combo,SUCCESS
TXN0044,Sharma Café,85,2025-09-13 08:14:31,8,14,Breakfast,SUCCESS
TXN0045,Sharma Café,305,2025-09-13 08:56:48,8,56,Snacks,SUCCESS
TXN0046,Sharma Café,198,2025-09-13 08:59:55,8,59,Combo,SUCCESS
TXN0047,Sharma Café,135,2025-09-13 09:07:18,9,7,Coffee,REFUNDED
TXN0048,Sharma Café,359,2025-09-13 09:08:48,9,8,Breakfast,SUCCESS
TXN0049,Sharma Café,120,2025-09-13 09:11:29,9,11,Breakfast,SUCCESS
TXN0050,Sharma Café,110,2025-09-13 09:21:21,9,21,Snacks,SUCCESS
TXN0051,Sharma Café,128,2025-09-13 10:06:06,10,6,Coffee,SUCCESS
TXN0052,Sharma Café,135,2025-09-13 10:22:57,10,22,Beverage,SUCCESS
TXN0053,Sharma Café,125,2025-09-13 10:45:29,10,45,Coffee,SUCCESS
TXN0054,Sharma Café,49,2025-09-13 11:10:19,11,10,Coffee,SUCCESS
TXN0055,Sharma Café,169,2025-09-13 11:36:19,11,36,Coffee,SUCCESS
TXN0056,Sharma Café,185,2025-09-13 11:52:54,11,52,Tea,SUCCESS
TXN0057,Sharma Café,565,2025-09-13 12:11:52,12,11,Snacks,SUCCESS
TXN0058,Sharma Café,227,2025-09-13 12:36:08,12,36,Snacks,FAILED
TXN0059,Sharma Café,525,2025-09-13 12:38:35,12,38,Lunch,SUCCESS
TXN0060,Sharma Café,285,2025-09-13 12:49:54,12,49,Fast Food,SUCCESS
TXN0061,Sharma Café,806,2025-09-13 13:09:28,13,9,Beverage,SUCCESS
TXN0062,Sharma Café,306,2025-09-13 13:14:38,13,14,Beverage,SUCCESS
TXN0063,Sharma Café,285,2025-09-13 13:27:32,13,27,Lunch,SUCCESS
TXN0064,Sharma Café,167,2025-09-13 13:59:31,13,59,Beverage,SUCCESS
TXN0065,Sharma Café,329,2025-09-13 14:13:15,14,13,Lunch,SUCCESS
TXN0066,Sharma Café,235,2025-09-13 14:24:34,14,24,Lunch,SUCCESS
TXN0067,Sharma Café,427,2025-09-13 14:45:56,14,45,Combo,SUCCESS
